20/06/2019;4330;4330;4280;4310;107715700
21/06/2019;4290;4360;4260;4360;170191100
24/06/2019;4310;4350;4290;4310;82569600
25/06/2019;4350;4350;4290;4330;59456000
26/06/2019;4330;4370;4320;4360;102850200
27/06/2019;4380;4390;4350;4380;81746600
28/06/2019;4370;4400;4350;4360;102580700
01/07/2019;4400;4420;4380;4420;104844900
02/07/2019;4420;4420;4360;4410;134440200
03/07/2019;4390;4420;4360;4400;74371900
04/07/2019;4360;4400;4360;4390;38687900
05/07/2019;4420;4420;4380;4400;53771200
08/07/2019;4380;4410;4370;4400;46233200
09/07/2019;4370;4410;4370;4410;64718300
10/07/2019;4410;4480;4400;4470;80977700
11/07/2019;4490;4540;4480;4510;91416500
12/07/2019;4510;4540;4490;4510;64575400
15/07/2019;4540;4560;4520;4530;68954800
16/07/2019;4500;4550;4500;4550;84477400
17/07/2019;4520;4550;4500;4520;65303400
18/07/2019;4500;4510;4440;4450;77028200
